"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Mar-2022","EQ","1,695.25","1,736.00","1,681.00","1,720.85","1,721.90","1,723.30","1,714.49","1,953.90","1,259.00",9074499,"15,558,102,517.75",317226
"03-Mar-2022","EQ","1,720.20","1,733.90","1,705.55","1,702.80","1,721.75","1,720.85","1,722.78","1,953.90","1,259.00",7344147,"12,652,331,996.15",262571
"02-Mar-2022","EQ","1,710.00","1,714.40","1,691.00","1,715.60","1,702.55","1,702.80","1,703.13","1,953.90","1,259.00",6771489,"11,532,701,358.80",301403
"28-Feb-2022","EQ","1,682.20","1,728.05","1,665.00","1,694.60","1,719.00","1,715.60","1,709.44","1,953.90","1,259.00",15076542,"25,772,414,334.90",330427
"25-Feb-2022","EQ","1,715.00","1,728.15","1,677.00","1,678.15","1,696.00","1,694.60","1,698.96","1,953.90","1,244.75",9737281,"16,543,242,534.40",305050
"24-Feb-2022","EQ","1,690.10","1,714.95","1,670.50","1,742.85","1,674.80","1,678.15","1,689.92","1,953.90","1,244.75",13592379,"22,970,021,733.65",376409
"23-Feb-2022","EQ","1,750.00","1,758.25","1,733.40","1,734.35","1,742.80","1,742.85","1,742.56","1,953.90","1,244.75",5478811,"9,547,154,732.20",191067
"22-Feb-2022","EQ","1,699.90","1,751.00","1,691.05","1,730.70","1,733.00","1,734.35","1,721.17","1,953.90","1,244.75",8878515,"15,281,431,404.90",227885
"21-Feb-2022","EQ","1,701.00","1,737.30","1,691.50","1,706.95","1,729.50","1,730.70","1,718.04","1,953.90","1,244.75",5120890,"8,797,869,134.30",205567
"18-Feb-2022","EQ","1,710.00","1,722.50","1,703.50","1,724.80","1,705.95","1,706.95","1,711.87","1,953.90","1,244.75",5602215,"9,590,289,595.60",159019
"17-Feb-2022","EQ","1,744.00","1,749.00","1,720.30","1,733.30","1,723.70","1,724.80","1,731.45","1,953.90","1,244.75",3937950,"6,818,374,503.70",110732
"16-Feb-2022","EQ","1,738.25","1,755.45","1,726.85","1,738.25","1,731.50","1,733.30","1,740.74","1,953.90","1,244.75",5350642,"9,314,065,942.90",162198
"15-Feb-2022","EQ","1,699.00","1,746.75","1,690.45","1,682.20","1,742.30","1,738.25","1,721.75","1,953.90","1,244.75",4669915,"8,040,412,171.15",188794
"14-Feb-2022","EQ","1,690.00","1,718.55","1,678.25","1,721.35","1,684.00","1,682.20","1,698.58","1,953.90","1,244.75",7459637,"12,670,785,135.65",280769
"11-Feb-2022","EQ","1,740.00","1,745.95","1,713.00","1,769.60","1,719.65","1,721.35","1,720.68","1,953.90","1,244.75",7551371,"12,993,527,942.15",430200
"10-Feb-2022","EQ","1,755.65","1,773.90","1,748.75","1,737.30","1,771.60","1,769.60","1,760.55","1,953.90","1,244.75",4334630,"7,631,331,627.45",206904
"09-Feb-2022","EQ","1,735.00","1,743.00","1,725.00","1,717.30","1,739.00","1,737.30","1,736.09","1,953.90","1,244.75",3867244,"6,713,900,255.40",178730
"08-Feb-2022","EQ","1,710.00","1,725.00","1,696.00","1,715.00","1,708.60","1,717.30","1,712.06","1,953.90","1,244.75",6053401,"10,363,805,939.55",222044
"07-Feb-2022","EQ","1,722.20","1,732.00","1,695.40","1,741.10","1,713.00","1,715.00","1,714.37","1,953.90","1,244.75",4310209,"7,389,275,044.25",254813
"04-Feb-2022","EQ","1,732.00","1,753.95","1,710.15","1,738.55","1,740.00","1,741.10","1,736.20","1,953.90","1,241.00",4700077,"8,160,294,996.20",193857
"03-Feb-2022","EQ","1,779.00","1,779.00","1,734.00","1,787.10","1,736.30","1,738.55","1,755.15","1,953.90","1,241.00",3832922,"6,727,366,646.30",183506
"02-Feb-2022","EQ","1,789.00","1,792.80","1,772.00","1,772.05","1,787.65","1,787.10","1,785.72","1,953.90","1,241.00",4253717,"7,595,951,820.00",146941
